Unnamed: 0,AMZN,RSI,AMZN_rsi_entry_exit,AMZN_rsi_balance
2017-10-16,1006.34,91.00909993043204,0,0
2017-10-17,1008.99,91.49248423017319,0,0
2017-10-18,996.99,72.487325486388,0,0
2017-10-19,986.6,60.72546745326117,0,0
2017-10-20,982.91,57.17707772003361,0,0
2017-10-23,966.34,44.579739280306654,0,0
2017-10-24,976.0,51.31414047141717,0,0
2017-10-25,972.91,49.252446208533385,0,0
2017-10-26,972.54,48.99858364681533,0,0
2017-10-27,1100.99,82.575696433561,0,0
2017-10-30,1110.85,83.47504665165113,0,0
2017-10-31,1105.67,81.10658127941356,0,0
2017-11-01,1103.5,80.08150250849792,0,0
2017-11-02,1094.0,75.57805201925191,0,0
2017-11-03,1111.55,78.03544079639433,0,0
2017-11-06,1120.46,79.18080290615579,0,0
2017-11-07,1123.14,79.52662405916959,0,0
2017-11-08,1132.86,80.77398734173795,0,0
2017-11-09,1129.0,78.72277964139191,0,0
2017-11-10,1125.34,76.7330277985316,0,0
2017-11-13,1129.21,77.38395106256293,0,0
2017-11-14,1136.84,78.65202579313579,0,0
2017-11-15,1127.09,73.01795210863523,0,0
2017-11-16,1136.95,74.97058371047048,0,0
2017-11-17,1129.87,70.99748464823213,0,0
2017-11-20,1126.56,69.15236324241484,0,0
2017-11-21,1139.58,72.21160070759825,0,0
2017-11-22,1156.16,75.53845243607307,0,0
2017-11-24,1186.41,80.19679076212608,0,0
2017-11-27,1195.62,81.36064076284937,0,0
2017-11-28,1193.6,80.24669255479739,0,0
2017-11-29,1161.21,64.90214889251149,0,0
2017-11-30,1176.59,68.02838307430603,0,0
2017-12-01,1161.83,62.29381618954883,0,0
2017-12-04,1133.95,53.175526820627205,0,0
2017-12-05,1141.58,55.1120156219509,0,0
2017-12-06,1152.94,57.903447883742245,0,0
2017-12-07,1160.0,59.585521582870506,0,0
2017-12-08,1161.99,60.0698417831921,0,0
2017-12-11,1169.15,61.84170111295616,0,0
2017-12-12,1165.56,60.39462098871291,0,0
2017-12-13,1164.48,59.94021563207972,0,0
2017-12-14,1175.06,62.886179655461774,0,0
2017-12-15,1178.98,63.94416457431608,0,0
2017-12-18,1190.8,66.99899478920128,0,0
2017-12-19,1187.43,65.3002678079703,0,0
2017-12-20,1177.29,60.342656635237084,0,0
2017-12-21,1174.87,59.1877381367765,0,0
2017-12-22,1168.33,56.06479405488006,0,0
2017-12-26,1176.94,59.12270412635414,0,0
2017-12-27,1181.81,60.78524393771984,0,0
2017-12-28,1185.99,62.2060795813359,0,0
2017-12-29,1169.54,53.92546570682541,0,0
2018-01-02,1189.0,60.60613418175861,0,0
2018-01-03,1202.74,64.51809483013974,0,0
2018-01-04,1209.64,66.32652148434974,0,0
2018-01-05,1229.07,70.83440965080797,0,0
2018-01-08,1246.95,74.25052778254775,0,0
2018-01-09,1253.12,75.32458853025348,0,0
2018-01-10,1254.29,75.53300237927897,0,0
2018-01-11,1276.77,79.17287812099211,0,0
2018-01-12,1305.2,82.68180111367613,0,0
2018-01-16,1305.16,82.66069970391898,0,0
2018-01-17,1295.0,77.26668388234161,0,0
2018-01-18,1293.22,76.32695611478108,0,0
2018-01-19,1294.58,76.56151019984046,0,0
2018-01-22,1327.45,81.36681968631574,0,0
2018-01-23,1363.05,84.96264221081836,0,0
2018-01-24,1357.51,82.30093381258287,0,0
2018-01-25,1377.31,84.2054310694576,0,0
2018-01-26,1401.19,86.14220114751413,0,0
2018-01-29,1417.68,87.3002734524887,0,0
2018-01-30,1438.19,88.57872877500843,0,0
2018-01-31,1451.39,89.32364453886976,0,0
2018-02-01,1388.71,66.98294769701289,0,0
2018-02-02,1429.87,71.94509978135082,0,0
2018-02-05,1390.0,62.19434519845154,0,0
2018-02-06,1442.84,68.3220204072201,0,0
2018-02-07,1415.15,62.5962718597072,0,0
2018-02-08,1350.51,51.70316476426497,0,0
2018-02-09,1339.34,50.081297217930995,0,0
2018-02-12,1386.97,56.36664047811183,0,0
2018-02-13,1413.66,59.44792278734824,0,0
2018-02-14,1451.08,63.35512570854924,0,0
2018-02-15,1461.76,64.4091329224363,0,0
2018-02-16,1448.59,62.03941188044581,0,0
2018-02-20,1468.36,64.17047540468761,0,0
2018-02-21,1482.92,65.69777805378624,0,0
2018-02-22,1484.59,65.87744384568921,0,0
2018-02-23,1500.0,67.56562677394334,0,0
2018-02-26,1521.95,69.85349734711498,0,0
2018-02-27,1512.0,67.52816967149258,0,0
2018-02-28,1512.45,67.58073184661323,0,0
2018-03-01,1492.0,62.620006845526504,0,0
2018-03-02,1500.21,63.769820022893605,0,0
2018-03-05,1523.61,66.89542088771724,0,0
2018-03-06,1537.18,68.58784584363329,0,0
2018-03-07,1544.9,69.54184305710903,0,0
2018-03-08,1551.67,70.39107833878748,0,0
2018-03-09,1578.94,73.58586560275722,0,0
2018-03-12,1598.5,75.61802008107234,0,0
2018-03-13,1588.13,72.4362353329392,0,0
2018-03-14,1591.0,72.77763195430578,0,0
2018-03-15,1582.75,70.09021642964966,0,0
2018-03-16,1571.69,66.54270956820602,0,0
2018-03-19,1545.58,58.95635871692939,0,0
2018-03-20,1586.52,65.58220218657013,0,0
2018-03-21,1582.93,64.59741649174353,0,0
2018-03-22,1544.92,55.15415389692148,0,0
2018-03-23,1495.55,45.79073464515516,0,0
2018-03-26,1555.87,55.68884333932506,0,0
2018-03-27,1497.12,46.737721740752356,0,0
2018-03-28,1429.19,38.943351806891876,0,0
2018-03-29,1445.96,41.53551154708206,0,0
2018-04-02,1371.92,34.559405208264195,0,0
